official_contest_name,in_group,ex_group,original_cvr_header,ballot_contest_name,bmd_contest_name,vote_for,writein_num,official_options,description
Medina Town Board Supervisor (2),44,,Town Board Supervisor T Medina,"Town Board Supervisor
Vote for not more than 2",,2,2,"John Hellenbrand, John Ward ",
Medina Town Board Supervisor (2),44,,,,,,,,
Medina Town Treasurer,44,,Town Treasurer T Medina,"Town Treasurer
Vote for 1",,,,Leaota Braithwaite,
Middleton Town Board Chairperson,45,,Town Board Chairperson T Middleton,"Town Board Chairperson
Vote for 1",,,,Cynthia Richson,
Middleton Town Board Supervisor 1,45,,Town Board Supervisor 1 T Middleton,"Town Board Supervisor 1
Vote for 1",,,,"Lisa Pardon, Richard Oberle ",
Middleton Town Board Supervisor 2,45,,Town Board Supervisor 2 T Middleton,"Town Board Supervisor 2
Vote for 1",,,,Brent Renteria,
Montrose Town Board Chairperson,46,,Town Board Chairperson T Montrose,"Town Board Chairperson
Vote for 1",,,,Roger Calvin Hodel,
Montrose Town Board Supervisor 1,46,,Town Board Supervisor 1 T Montrose,"Town Board Supervisor 1
Vote for 1",,,,Randle Francois,
Montrose Town Board Supervisor 2,46,,Town Board Supervisor 2 T Montrose,"Town Board Supervisor 2
Vote for 1",,,,Daniel P. Palmer,
Montrose Town Clerk,46,,Town Clerk T Montrose,"Town Clerk
Vote for 1",,,,(no candidate),
Montrose Town Treasurer,46,,Town Treasurer T Montrose,"Town Treasurer
Vote for 1",,,,Melissa K. Salisbury,
Montrose Constable,46,,Constable T Montrose,"Constable
Vote for 1",,,,John J. Everson,
Oregon Town Board Chairperson,47,,Town Board Chairperson T Oregon,"Town Board Chairperson
Vote for 1",TOWN BOARD CHAIRPERSON T OREGON,,,Wayne Ace,
Oregon Town Board Supervisor (2),47,,Town Board Supervisor T Oregon,"Town Board Supervisor
Vote for not more than 2",TOWN BOARD SUPERVISOR T OREGON,2,2,"Fred Clark Jr., Steve Root ",
Oregon Town Board Supervisor (2),47,,,,,,,,
Oregon Constable,47,,Constable T Oregon,"Constable
Vote for 1",CONSTABLE T OREGON,,,Kurt Maher,
Perry Town Board Chairperson,48,,Town Board Chairperson T Perry,"Town Board Chairperson
Vote for 1",,,,Roger A. Kittleson,
Perry Town Board Supervisor 1,48,,Town Board Supervisor 1 T Perry,"Town Board Supervisor 1
Vote for 1",,,,Ken Hefty,
Perry Town Board Supervisor 2,48,,Town Board Supervisor 2 T Perry,"Town Board Supervisor 2
Vote for 1",,,,Mick Klein Kennedy,
Perry Town Clerk,48,,Town Clerk T Perry,"Town Clerk
Vote for 1",,,,Mary L. Price,
Perry Town Treasurer,48,,Town Treasurer T Perry,"Town Treasurer
Vote for 1",,,,Stephanie Zwettler,
Pleasant Springs Town Board Chairperson,49,,Town Board Chairperson T Pleasant Springs,"Town Board Chairperson
Vote for 1",,,,David Pfeiffer,
Pleasant Springs Town Board Supervisor 1,49,,Town Board Supervisor 1 T Pleasant Springs,"Town Board Supervisor 1
Vote for 1",,,,Douglas Larsson,
Pleasant Springs Town Board Supervisor 2,49,,Town Board Supervisor 2 T Pleasant Springs,"Town Board Supervisor 2
Vote for 1",,,,Eric Olson,
Primrose Town Board Chairperson,50,,Town Board Chairperson T Primrose,"Town Board Chairperson
Vote for 1",,,,Dale Judd,
Primrose Town Board Supervisor 1,50,,Town Board Supervisor 1 T Primrose,"Town Board Supervisor 1
Vote for 1",,,,Martha Gibson,
Primrose Town Board Supervisor 2,50,,Town Board Supervisor 2 T Primrose,"Town Board Supervisor 2
Vote for 1",,,,Alex Elkins,
Primrose Town Treasurer,50,,Treasurer T Primrose,"Town Treasurer
Vote for 1",,,,David Garfoot,
Roxbury Town Board Chairperson,51,,Town Board Chairperson T Roxbury,"Town Board Chairperson
Vote for 1",,,,Ervin Breunig,
Roxbury Town Board Supervisor 1,51,,Town Board Supervisor 1 T Roxbury,"Town Board Supervisor 1
Vote for 1",,,,Nick Ganser,
Roxbury Town Board Supervisor 2,51,,Town Board Supervisor 2 T Roxbury,"Town Board Supervisor 2
Vote for 1",,,,Michael Bradley,
Roxbury Town Clerk,51,,Town Clerk T Roxbury,"Town Clerk
Vote for 1",,,,"H. Adam Steinberg, Lisa Meinholz ",
Roxbury Town Treasurer,51,,Town Treasurer T Roxbury,"Town Treasurer
Vote for 1",,,,Nanette Backeberg,
Rutland Town Board Chairperson,52,,Town Board Chairperson T Rutland,"Town Board Chairperson
Vote for 1",,,,Peter Loughrin,
Rutland Town Board Supervisor,52,,Town Board Supervisor T Rutland,"Town Board Supervisor
Vote for 1",,,,"David Grueneberg, David Krueger ",
Rutland Town Clerk,52,,Town Clerk T Rutland,"Town Clerk
Vote for 1",,,,Dawn George,
Rutland Town Treasurer,52,,Town Treasurer T Rutland,"Town Treasurer
Vote for 1",,,,Kim Sime,
Rutland Constable (2),52,,Constable T Rutland,"Constable
Vote for not more than 2",,2,2,"Nels Wethal, Shawn C. Hillestad, Steven Williams ",
Rutland Constable (2),52,,,,,,,,
Springdale Town Board Chairperson,53,,Town Board Chairperson T Springdale,"Town Board Chairperson
Vote for 1",,,,Mike Fagan,
Springdale Town Board Supervisor 1,53,,Town Board Supervisor 1 T Springdale,"Town Board Supervisor 1
Vote for 1",,,,John Rosenbaum,
Springdale Town Board Supervisor 2,53,,Town Board Supervisor 2 T Springdale,"Town Board Supervisor 2
Vote for 1",,,,Richard Schwenn,
Springfield Town Board Chairperson,54,,Town Board Chairperson T Springfield,"Town Board Chairperson
Vote for 1",,,,Jim Pulvermacher,
Springfield Town Board Supervisor 1,54,,Town Board Supervisor 1 T Springfield,"Town Board Supervisor 1
Vote for 1",,,,Dave Laufenberg,
Springfield Town Board Supervisor 2,54,,Town Board Supervisor 2 T Springfield,"Town Board Supervisor 2
Vote for 1",,,,"Bill Statz,Tom Ripp ",
Sun Prairie Town Board Chairperson,55,,Town Board Chairperson T Sun Prairie,"Town Board Chairperson
Vote for 1",,,,Lyle Updike,
Sun Prairie Town Board Supervisor (2),55,,Town Board Supervisor T Sun Prairie,"Town Board Supervisor
Vote for 2",,2,2,"Doug Yelk, Joe Seltzner ",
Sun Prairie Town Board Supervisor (2),55,,,,,,,,
Sun Prairie Town Treasurer,55,,Town Treasurer T Sun Prairie,"Town Treasurer
Vote for 1",,,,Kay Weisensel,
Sun Prairie Constable,55,,Constable T Sun Prairie,"Constable
Vote for 1",,,,Joseph Kaltenberg,
Vermont Town Board Chairperson,56,,Town Board Chair T Vermont,"Town Board Chairperson
Vote for 1",,,,Karen Carlock,
Vermont Town Board Supervisor 1,56,,Town Board Supervisor 1 T Vermont,"Town Board Supervisor 1
Vote for 1",,,,Scott Moe,
Vermont Town Board Supervisor 3,56,,Town Board Supervisor 3 T Vermont,"Town Board Supervisor 3
Vote for 1",,,,Alexander C. McKenzie,
Verona Town Board Chairperson,57,,Town Board Chairperson T Verona,"Town Board Chairperson
Vote for 1",,,,Mark Geller,
Verona Town Board Supervisor 1,57,,Town Board Supervisor 1 T Verona,"Town Board Supervisor 1
Vote for 1",,,,Tom Mathies,
Verona Town Board Supervisor 2,57,,Town Board Supervisor 2 T Verona,"Town Board Supervisor 2
Vote for 1",,,,Mike Duerst,
Vienna Town Board Chairperson,58,,Town Board Chairperson T Vienna,"Town Board Chairperson
Vote for 1",,,,(no candidate),
Vienna Town Board Supervisor 1,58,,Town Board Supervisor 1 T Vienna,"Town Board Supervisor 1
Vote for 1",,,,Steve Ruegsegger,
Vienna Town Board Supervisor 2,58,,Town Board Supervisor 2 T Vienna,"Town Board Supervisor 2
Vote for 1",,,,Karen Ingalls,
Vienna Town Treasurer,58,,Town Treasurer T Vienna,"Town Treasurer
Vote for 1",,,,Nicole Roessler,
Westport Town Board Chairperson,59,,Town Board Chairperson T Westport,"Town Board Chairperson
Vote for 1",,,,Dean A. Grosskopf,
Westport Town Board Supervisor 2,59,,Town Board Supervisor 2 T Westport,"Town Board Supervisor 2
Vote for 1",,,,Ken Sipsma,
Westport Town Board Supervisor 4,59,,Town Board Supervisor 4 T Westport,"Town Board Supervisor 4
Vote for 1",,,,John Cuccia,
York Town Board Chairperson,60,,Town Board Chairperson T York,"Town Board Chairperson
Vote for 1",,,,Allen Wolfe,
York Town Board Supervisor 1,60,,Town Board Supervisor 1 T York,"Town Board Supervisor 1
Vote for 1",,,,Dean Helwig,
York Town Board Supervisor 2,60,,Town Board Supervisor 2 T York,"Town Board Supervisor 2
Vote for 1",,,,Brian Henning,
York Town Clerk,60,,Town Clerk T York,"Town Clerk
Vote for 1",,,,Nicole Bronkhorst,
York Town Treasurer,60,,Town Treasurer T York,"Town Treasurer
Vote for 1",,,,Linda Henning,
Barneveld School Board Member Town of Brigham,,,Barneveld School District Board Member Town of Brigham,"Barneveld School District 
School Board Member 
Town of Brigham
Vote for 1",,,,Peter Shatrawka,
Barneveld School Board Member Village of Barneveld,,,Barneveld School District Board Member Village of Barneveld,"Barneveld School District 
School Board Member 
Village of Barneveld
Vote for 1",,,,Tadd Owens,
Barneveld School Board Member At Large,,,School Board Member At Large Barneveld School District,"Barneveld School District 
School Board Member At Large
Vote for 1",,,,Amy Hugill,
Belleville School Board Member (3),,,School District of Belleville Board Member,"School District of Belleville 
School Board Member
Vote for not more than 3",SCHOOL DISTRICT OF BELLEVILLE BOARD MEMBER,3,3,"Barbara A. Peterson, Trevor Johann, Marian Viney ",
Belleville School Board Member (3),,,,,,,,,
Belleville School Board Member (3),,,,,,,,,
Cambridge School Board Member (2),,,Cambridge School District Board Member,"Cambridge School District
School Board Member
Vote for not more than 2",,2,2,"Michael Huffman, Heidi Thuli ",
Cambridge School Board Member (2),,,,,,,,,
Columbus School Board Member (2),,,Columbus School District Board Member,"Columbus School District
School Board Member
Vote for not more than 2",,2,2,"Mike O'Brien, David Fischer, Keith A. Loppnow ",
Columbus School Board Member (2),,,,,,,,,
Deerfield School Board Member (2),,,Deerfield Community School District Board Member,"Deerfield Community School
District 
School Board Member
Vote for not more than 2",DEERFIELD COMMUNITY SCHOOL DISTRICT BOARD MEMBER,2,2,"Tom Bush, Lisa Sigurslid ",
Deerfield School Board Member (2),,,,,,,,,
DeForest School Board Member Village of DeForest (2),,,School Board Member Village of DeForest DeForest Area School District,"DeForest Area School District School Board Member 
Village of DeForest
Vote for not more than 2",DEFOREST AREA SCHOOL DISTRICT BOARD MEMBER VILLAGE OF,2,2,"Jan Berg, Brian Coker ",
DeForest School Board Member Village of DeForest (2),,,,,,,,,
DeForest School Board Member Village of Windsor (2),,,DeForest Area School District Board Member Village of Windsor,"DeForest Area School District
School Board Member 
Village of Windsor
Vote for not more than 2",DEFOREST AREA SCHOOL DISTRICT BOARD MEMBER VILLAGE OF,2,2,"Steve Tenpas, Keri Brunelle ",
DeForest School Board Member Village of Windsor (2),,,,,,,,,
Edgerton School Board Member (3),,,Edgerton School District Board Member,"Edgerton School District
School Board Member
Vote for not more than 3",,3,3,"Matt Towns, James S. Raymond, Kathy Klein ",
Edgerton School Board Member (3),,,,,,,,,
Edgerton School Board Member (3),,,,,,,,,
Evansville School Board Member (2),,,Evansville Community School District Board Member,"Evansville Community School
District 
School Board Member
Vote for not more than 2",,2,2,"Jan Klaehn, Curt Nyhus, Rene S. Johnson, Eric Busse ",
Evansville School Board Member (2),,,,,,,,,
Lodi School Board Member (2),,,School District of Lodi Board Member,"School District of Lodi 
School Board Member
Vote for not more than 2",SCHOOL DISTRICT OF LODI BOARD MEMBER,2,2,"Julie McKiernan, William M. Wipperfurth ",
Lodi School Board Member (2),,,,,,,,,
Madison Metropolitan Board Member Seat 3,,,Madison Metropolitan School District Board Member Seat 3,"Madison Metropolitan School
District
School Board Member Seat 3
Vote for 1",MADISON METROPOLITAN SCHOOL DISTRICT BOARD MEMBER SEAT,,,"Cristiana Carusi, Kaleem Caire ",
Madison Metropolitan Board Member Seat 4,,,Madison Metropolitan School District Board Member Seat 4,"Madison Metropolitan School
District
School Board Member Seat 4
Vote for 1",MADISON METROPOLITAN SCHOOL DISTRICT BOARD MEMBER SEAT,,,"Ali Janae Muldrow, David Blaska ",
Madison Metropolitan Board Member Seat 5,,,Madison Metropolitan School District Board Member Seat 5,"Madison Metropolitan School
District
School Board Member Seat 5
Vote for 1",MADISON METROPOLITAN SCHOOL DISTRICT BOARD MEMBER SEAT,,,"TJ Mertz, Ananda Mirilli ",
Marshall School Board Member (2),,,Marshall Public Schools Board Member,,,2,2,"Debra Frigo, Mike Rateike ",
Marshall School Board Member (2),,,,,,,,,
McFarland School Board Member (2),,,School Board Member School District of McFarland,"School District of McFarland
School Board Member 
Vote for not more than 2",SCHOOL BOARD MEMBER SCHOOL DISTRICT OF MCFARLAND,2,2,"Christine M. Pribbenow, Arlyn Halvorson, Craig Howery ",
McFarland School Board Member (2),,,,,,,,,
Middleton Cross Plains School Board Member Area I,,6,Middleton Cross Plains Area School District Board Member Area I,"Middleton Cross Plains Area
School District
School Board Member Area I
Vote for 1",MIDDLETON CROSS PLAINS AREA SCHOOL DISTRICT BOARD MEMB,,,Katy Morgan,
Middleton Cross Plains School Board Member Area III,,6,School Board Member Area III Middleton Cross Plains Area School District,"Middleton Cross Plains Area
School District
School Board Member Area III
Vote for 1",SCHOOL BOARD MEMBER AREA III MIDDLETON CROSS PLAINS AR,,,Minza Karim,
Middleton Cross Plains School Board Member Area IV (2),,,Middleton Cross Plains Area School District Board Member Area IV,"Middleton Cross Plains Area
School District
School Board Member Area IV
Vote for not more than 2",MIDDLETON CROSS PLAINS AREA SCHOOL DISTRICT BOARD MEMB,2,2,"Bob Hesselbein, Todd G. Smith ",
Middleton Cross Plains School Board Member Area IV (2),,,,,,,,,
Monona Grove School Board Member (2),,,Monona Grove School District Board Member,"Monona Grove School District 
School Board Member
Vote for not more than 2",MONONA GROVE SCHOOL DISTRICT BOARD MEMBER,2,2,"Susan Manning, Peter Sobol ",
Monona Grove School Board Member (2),,,,,,,,,
Mount Horeb School Board Member (3),,,Mount Horeb Area School District Board Member,"Mount Horeb Area School
District 
School Board Member
Vote for not more than 3",,3,3,"Kimberly Sailor, Jeff Hanna, Leah Lipska ",
Mount Horeb School Board Member (3),,,,,,,,,
Mount Horeb School Board Member (3),,,,,,,,,
New Glarus School Board Member (2),,,School District of New Glarus Board Member,"School District of New Glarus
School Board Member
Vote for not more than 2",,2,2,"Debra Fairbanks, Bill Oemichen, Mark D. Smith ",
New Glarus School Board Member (2),,,,,,,,,
Oregon School Board Member Area 1 (2),,,Oregon School District Board Member Area 1,"Oregon School District
School Board Member Area 1
Vote for not more than 2",OREGON SCHOOL DISTRICT BOARD MEMBER AREA 1,2,2,"Ahna Bizjak, Krista Flanagan ",
Oregon School Board Member Area 1 (2),,,,,,,,,
Pecatonica School Board Member (2),,,Pecatonica Area School District Board Member,"Pecatonica Area School District
School Board Member Area 1
Vote for not more than 2",,2,2,"Richard G. Rolfsmeyer, Steve Cary, David K. McSherry, Jerry Bredeson ",
Pecatonica School Board Member (2),,,,,,,,,
Poynette School Board Member (2),,,School District of Poynette Board Member,"School District of Poynette Board
School Board Member
Vote for not more than 2",,2,2,"Jamie Pauli, Jerry Burke ",
Poynette School Board Member (2),,,,,,,,,
River Valley School Board Member Area 3,,7,River Valley School District Board Member Area 3,"River Valley School District 
School Board Member Area 3
Vote for 1",,,,Jeffrey J. Maier,
River Valley School Board Member Area 6,,7,River Valley School District Board Member Area 6,"River Valley School District
School Board Member Area 6 
Vote for 1",,,,Sara Young,
River Valley School Board Member Area 9,,7,River Valley School District Board Member Area 9,"River Valley School District
School Board Member Area 9 
Vote for 1",,,,John D. Bettinger,
Sauk Prairie Sch. Brd. Mbr. Twns Prairie du Sac Sumpter,,,Sauk Prairie School District Board Member Towns of Prairie du Sac & Sumpter,"Sauk Prairie School District 
School Board Member 
Towns of Prairie du Sac & 
Sumpter
Vote for 1",,,,Richard R. Talmage,
Sauk Prairie Sch. Brd. Mbr. Vil. of Prairie du sac Sauk,,,Sauk Prairie School District Board Member Villages of Prairie du Sac & Sauk City,"Sauk Prairie School District 
School Board Member 
Villages of Prairie du Sac & Sauk 
City
Vote for 1",,,,Tyler Erickson,
Stoughton School Board Member (3),,,Stoughton Area School District Board Member,"Stoughton Area School District 
School Board Member
Vote for not more than 3",STOUGHTON AREA SCHOOL DISTRICT BOARD MEMBER,3,3,"Joe Freye, Yolibeth Rangel-FitzGibbon, Shawn Rundblade, Jill Patterson ",
Stoughton School Board Member (3),,,,,,,,,
Stoughton School Board Member (3),,,,,,,,,
Sun Prairie School Board Member (3),,,Sun Prairie Area School District Board Member,"Sun Prairie Area School District 
School Board Member
Vote for not more than 3",SUN PRAIRIE AREA SCHOOL DISTRICT BOARD MEMBER,3,3,"Tim Fandek, Bob Jokisch, Montie Bowie, Steve Schroeder, David Hoekstra, Caren Diedrich ",
Sun Prairie School Board Member (3),,,,,,,,,
Sun Prairie School Board Member (3),,,,,,,,,
Verona School Board Member Portion 2,,,Verona Area School District Board Member Portion 2,"Verona Area School Board District
School Board Member Portion 2
Vote for 1",VERONA AREA SCHOOL DISTRICT BOARD MEMBER PORTION 2,,,Amy Almond,
Verona School Board Member At Large (2),,,Verona Area School District Board Member At Large,"Verona Area School Board District
School Board Member At Large
Vote for not more than 2",VERONA AREA SCHOOL DISTRICT BOARD MEMBER AT LARGE,2,2,"Noah Roberts, Deborah Biddle ",
Verona School Board Member At Large (2),,,,,,,,,
Waterloo School Board Member Area 3,,,Waterloo School District Board Member Area 3,,,,,Bobbi Forman,
Waterloo School Board Member Area 4,,,Waterloo School District Board Member Area 4,,,,,Debra L. Stein,
Waunakee School Board Member Towns of Springfield Dane,,,Waunakee Community School District Board Member Towns of Springfield and Dane,"Waunakee Community School
District 
School Board Member 
Towns of Springfield and Dane
Vote for 1",WAUNAKEE COMMUNITY SCHOOL DISTRICT BOARD MEMBER TOWNS,1,1,(no candidate),
Waunakee School Board Member Village of Waunakee (2),,,Waunakee Community School District Board Member Village of Waunakee,"Waunakee Community School 
District 
School Board Member 
Village of Waunakee
Vote for not more than 2",WAUNAKEE COMMUNITY SCHOOL DISTRICT BOARD MEMBER VILLAG,2,2,"David Boetcher, Jack A. Heinemann ",
Waunakee School Board Member Village of Waunakee (2),,,,,,,,,
Wisconsin Heights School Board Member (2),,,Wisconsin Heights School District Board Member,,WISCONSIN HEIGHTS SCHOOL DISTRICT BOARD MEMBER,2,2,"Mike Wagner, Barb Statz ",
Wisconsin Heights School Board Member (2),,,,,,,,,
Town of Dunkirk Ref re: rural preservation,,,Town of Dunkirk Referendum,Municipal,,,,"Yes, No","RURAL PRESERVATION:
PURCHASE OF DEVELOPMENT
RIGHTS

Shall the town of Dunkirk
initiate a program of rural
preservation through the
purchase of development rights in
farmland and natural areas that
are voluntarily offered for sale by
property owners in the Town, with
the program funded by a mill rate
increase on ail taxable property in
the Town of $.50 per $1,000 of
equalized valuation?"
Town of Mazomanie Ref re: ATV/UTV use of roads,,,Town of Mazomanie Referendum,Municipal,,,,"Yes, No","As a resident of the Township of
Mazomanie, are you in favor of
ATV/UTV side by side routes
within the Township, which would
allow said vehicles to use
township roads in much the same
ways as autos, trucks, etc.?"
City of Middleton Ref re: storm water utility charge,,,City of Middleton Referendum,Municipal,,,,"Yes, No","Due to the devastating impact
of the August 20,2018 storm,
shall the City of Middleton Storm
Water Utility be permitted to
charge customers of the Storm
Water Utility an annual charge of
up to $45 per equivalent runoff
unit from each property, for the
years 2019 through 2024 only, to
fund the repairs to the Pheasant
Branch Creek Corridor, Tiedeman
Pond, Stricker Pond and other
storm water management features
that were damaged by the August
2018 flood, without reducing the
levy limit for the charges of the
Storm Water Utility?"
DeForest School Dist. Ref Q1 re: $125000000 in bonds,,,DeForest Area School District Referendum Q1,School District,DEFOREST AREA SCHOOL DISTRICT REFERENDUM Q1,,,"Yes, No","QUESTION NUMBER I

Shall the DeForest Area School
District, Dane and Columbia
Counties, Wisconsin be
authorized to issue pursuant to
Chapter 67 of the Wisconsin
Statutes, general obligation bonds
in an amount not to exceed
$125,000,000 for the public
purpose of paying the cost of a
school building and improvement
project consisting of construction
of a new intermediate school and
maintenance building on District
owned land in the Village of
Windsor; renovation of Yahara
Elementary School; renovation of
DeForest Area Middle School,
including a portion to be
remodeled as the District Office;
renovation and expansion of 
DeForest Area High School; site
improvements; and acquisition of
furniture, fixtures and equipment?"
DeForest School Dist. Ref Q2 re: exceed revenue limit,,,DeForest Area School District Referendum Q2,School District,DEFOREST AREA SCHOOL DISTRICT REFERENDUM Q2,,,"Yes, No","QUESTION NUMBER II 
Shall the DeForest Area School 
District, Dane and Columbia 
Counties, Wisconsin be 
authorized to exceed the revenue 
limit specified in Section 121.91, 
Wisconsin Statutes, by 
$2,500,000 starting in the 
2019-2020 school year and 
thereafter for recurring purposes 
consisting of operating the new 
intermediate school and addition 
to the high school, expanding 
District programming supporting 
student achievement and the 
District's capacity to attract and 
retain quality staff, and reducing 
capital project borrowing costs?"
Marshall Public Schools Ref re: exceed revenue limit,,,Marshall Public Schools Referendum,School District,,,,"Yes, No","Shall the Joint School District
Number 2, Village of Marshall,
Towns of Cottage Grove,
Deerfield, Medina, Sun Prairie
and York, Dane County,
Wisconsin be authorized to
exceed the revenue limit specified
in Section 121.91, Wisconsin
Statutes, by $875,000 beginning
with the 2019-2020 school year
on a recurring basis, and by an
additional $375,000 per year
beginning with the 2019-2020
school year and ending with the
2021-2022 school year on a
non-recurring basis, for the
purposes of maintaining current
academic, athletic and
co-curricular programs; retaining
and recruiting staff; and updating
instructional resources,
technology and facilities?"
River Valley School Dist. Ref re: exceed revenue limit,,,River Valley School District Referendum River Valley School District,School District,,,,"Yes, No","Shall the River Valley School 
District, Sauk, lowa, Richland and 
Dane Counties, Wisconsin, be 
authorized to exceed the revenue 
limit specified in Section 121.91, 
Wisconsin Statutes, by up to 
$883,000 for the 2019-2020
school year, up to $2,454,000 for
the 2020-2021 school year, up to
$3,213,000 for the 2021-2022 
school year (for a total of 
$6,550,000) for nonrecurring
purposes consisting of
maintaining the educational 
programs and current level of
district operations?"
Sun Prairie Schl. Dist. Ref Q1 re: $164000000 in bonds,,,Sun Prairie Area School District Referendum Q1,School District,SUN PRAIRIE AREA SCHOOL DISTRICT REFERENDUM Q1,,,"Yes, No","I. Question
INITIAL RESOLUTION 
AUTHORIZING ISSUANCE OF 
GENERAL OBLIGATION BONDS 
IN AN AMOUNT NOT TO 
EXCEED $164,000,000

BE IT RESOLVED by the
School Board of the Sun Prairie
Area School District, Dane, and
Columbia Counties, Wisconsin, 
that there shall be issued,
pursuant to Chapter 67,
Wisconsin Statutes, General
Obligation Bonds in an amount 
not to exceed $164,000,000 for 
the purpose of paying the costs of 
constructing a new high school; 
capital maintenance and
improvements to the existing 
secondary schools; rebuilding 
Ashley Field as a district-wide 
athletic/multi-use facility; removing 
the current Prairie Phoenix 
Academy and the former Early 
Learning Resource Center 
buildings; and equipment 
acquisitions related to said 
projects.

Shall the foregoing resolution 
of the School Board of the Sun 
Prairie Area School District be 
approved? "
Sun Prairie Schl. Dist. Ref Q2 re: exceed revenue limit,,,Sun Prairie Area School District Referendum Q2,School District,SUN PRAIRIE AREA SCHOOL DISTRICT REFERENDUM Q2,,,"Yes, No","II. Question

RESOLUTION TO EXCEED
REVENUE CAP COMMENCING
WITH THE 2019-20 SCHOOL
YEAR BY AN AMOUNT OF
$5,000,000

BE IT RESOLVED by the
School Board of the Sun Prarie
Area School District, Dane and
Columbia Counties, Wisconsin, 
that the final school district budget
shall include an amount not to
exceed $5,000,000 in excess of
the revenue limits imposed by
Section 121.91 of the Wisconsin
Statutes each year beginning with
the 2019-20 school year on a
recurring basis for the purpose of
paying staffing, operation and 
maintenance costs of the new
high school; reducing capital
project borrowing costs of the new
high school; and improving
teacher compensation.

Shall the School Board of the
Sun Prairie Area School District
be authorized to exceed the
revenue limit under Section 
121.91 of the Wisconsin Statutes
by an amount of $5,000,000 each 
year beginning with the 2019-20 
school year on a recurring basis f
or the purpose of paying staffing, 
operation and maintenance costs 
of the new high school; reducing 
capital project borrowing costs of 
the new high school; and 
improving teacher compensation
as provided in the foregoing 
resolution?"
Wisconsin Heights Schl Dist. Ref re exceed revenue limit,,,Wisconsin Heights School District Referendum,School District,WISCONSIN HEIGHTS SCHOOL DISTRICT REFERENDUM,,,"Yes, No","Shall the Wisconsin Heights
School District, Dane and Iowa
Counties, Wisconsin be 
authorized to exceed the revenue 
limit specified in Section 121.91,
Wisconsin Statutes, by 
$2,200,000 per year beginning
with the 2019-2020 school year
and ending with the 2023-2024
school year, for non-recurring
purposes consisting of sustaining
educational programming and
operational expenses?"
